Central,Temporada,Energia_GWh,Energia_MWh
1,1,3793.3866666666668,3793386.666666667
1,2,3334.000876849399,3334000.876849399
1,3,2927.8133706928634,2927813.3706928636
1,4,2258.5786610244186,2258578.6610244187
1,5,2036.1600000000003,2036160.0000000002
2,1,473.91043080928966,473910.4308092897
2,2,393.4205801695967,393420.5801695967
2,3,350.5771349302978,350577.1349302978
2,4,338.32295449995485,338322.9544999548
2,5,348.10251986700416,348102.5198670042
3,1,2523.7236129934954,2523723.6129934955
3,2,2470.8436439345846,2470843.6439345847
3,3,2441.3387110208528,2441338.711020853
3,4,2173.2786066063404,2173278.6066063405
3,5,2141.1289198425425,2141128.9198425426
4,1,0.0,0.0
4,2,0.0,0.0
4,3,0.0,0.0
4,4,0.0,0.0
4,5,0.0,0.0
5,1,0.0,0.0
5,2,0.0,0.0
5,3,0.0,0.0
5,4,0.0,0.0
5,5,0.0,0.0
6,1,0.0,0.0
6,2,0.0,0.0
6,3,0.0,0.0
6,4,0.0,0.0
6,5,0.0,0.0
7,1,0.0,0.0
7,2,0.0,0.0
7,3,0.0,0.0
7,4,0.0,0.0
7,5,0.0,0.0
8,1,1509.3990142683967,1509399.0142683967
8,2,1486.075406442649,1486075.406442649
8,3,1471.2271747822413,1471227.1747822412
8,4,1398.7367599837135,1398736.7599837135
8,5,1398.6867405695484,1398686.7405695484
9,1,603.1033854681955,603103.3854681954
9,2,595.5272345431353,595527.2345431353
9,3,591.3179728594147,591317.9728594146
9,4,562.9135782613691,562913.5782613691
9,5,562.814470936872,562814.470936872
10,1,0.0,0.0
10,2,0.0,0.0
10,3,0.0,0.0
10,4,0.0,0.0
10,5,0.0,0.0
11,1,0.0,0.0
11,2,0.0,0.0
11,3,0.0,0.0
11,4,0.0,0.0
11,5,0.0,0.0
12,1,0.0,0.0
12,2,0.0,0.0
12,3,0.0,0.0
12,4,0.0,0.0
12,5,0.0,0.0
13,1,190.94513176941194,190945.13176941194
13,2,181.04546537367963,181045.46537367965
13,3,170.65836765830744,170658.36765830743
13,4,151.66532041365787,151665.32041365787
13,5,158.4527945655071,158452.7945655071
14,1,0.0,0.0
14,2,0.0,0.0
14,3,0.0,0.0
14,4,0.0,0.0
14,5,0.0,0.0
15,1,28.46999999999998,28469.99999999998
15,2,28.46999999999998,28469.99999999998
15,3,28.46999999999998,28469.99999999998
15,4,28.46999999999998,28469.99999999998
15,5,28.46999999999998,28469.99999999998
16,1,0.0,0.0
16,2,0.0,0.0
16,3,0.0,0.0
16,4,0.0,0.0
16,5,0.0,0.0
